n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n343,n344,n345,n346,n347,n348,n349,n350,n351,n352,n353,n354,n355,n356,n357,n358,n359,n360,n361,n362,n363,n364,n365,n366,n367,n368,n369,n370,n371,n372,n373,n374,n375,n376,n377,n378,n379,n380,n381,n382,n383,n384,n385,n386,n387,n388,n389,1
119.976715,119.97744,119.97744,119.978455,119.97947,119.97863,119.97696,119.97981,119.9785,119.977486,119.97995,119.97921,119.980064,119.97921,119.97864,119.97936,119.9801,119.98038,119.97791,119.98046,119.9801,119.977455,119.98046,119.981346,119.97991,119.98047,119.981445,119.98074,119.978745,119.977516,119.98092,119.97898,119.98053,119.98463,119.980545,119.97845,119.98946,119.98076,119.98946,119.98378,119.97843,119.98522,119.99064,119.99801,119.99566,119.998985,119.97775,119.97873,119.984245,119.976715,119.976715,119.97672,119.976746,119.97679,119.977455,119.97745,119.977554,119.97926,119.97922,119.97878,119.97694,119.97701,119.97995,119.98017,119.97761,119.9777,119.980064,119.98021,119.98015,119.980255,119.97868,119.98016,119.980316,119.97784,119.98108,119.980354,119.97765,119.978065,119.97842,119.980446,119.98061,119.97974,119.98305,119.977646,119.97783,119.978134,119.98128,119.984436,119.98203,119.99716,119.99637,119.99052,120.0
119.98234,119.983116,119.983116,119.98375,119.98479,119.98392,119.98272,119.98498,119.9838,119.983154,119.98507,119.98456,119.98514,119.98454,119.98415,119.98467,119.98514,119.98549,119.983475,119.98556,119.985115,119.9832,119.98557,119.98617,119.98489,119.98556,119.986336,119.98573,119.984215,119.983215,119.98597,119.98441,119.985466,119.9886,119.98547,119.984116,119.99221,119.985664,119.99221,119.98775,119.98411,119.98899,119.99306,119.99854,119.996826,119.99926,119.98338,119.9842,119.98829,119.98234,119.98235,119.98235,119.98236,119.98241,119.98312,119.983154,119.983246,119.98461,119.98458,119.98406,119.98276,119.98293,119.98508,119.98529,119.98324,119.98331,119.985176,119.98533,119.985214,119.985344,119.98418,119.985176,119.985275,119.98343,119.986046,119.98532,119.98335,119.983665,119.983925,119.98556,119.98562,119.984955,119.98753,119.98333,119.98351,119.98381,119.98601,119.98843,119.986404,119.99793,119.997345,119.99316,120.0
119.97919,119.9799,119.9799,119.98087,119.98181,119.981,119.97947,119.98208,119.98093,119.979935,119.982185,119.98157,119.98223,119.98156,119.98105,119.98169,119.98223,119.98263,119.980316,119.9827,119.98223,119.979866,119.9827,119.98342,119.98206,119.98271,119.98357,119.98302,119.981125,119.97989,119.98312,119.98135,119.98267,119.98627,119.9827,119.980896,119.99062,119.98291,119.99062,119.98528,119.98089,119.98669,119.99142,119.99821,119.996086,119.99909,119.9802,119.98112,119.98589,119.97919,119.97919,119.979195,119.979195,119.97927,119.979904,119.979904,119.98004,119.981606,119.981575,119.98116,119.97948,119.97955,119.98216,119.982414,119.98003,119.98011,119.98231,119.98246,119.982315,119.982475,119.98108,119.982285,119.98242,119.980255,119.983246,119.98249,119.98009,119.98047,119.980804,119.9827,119.98276,119.98199,119.98495,119.97999,119.98022,119.98057,119.98339,119.98606,119.983894,119.997444,119.996735,119.9915,120.0
119.98118,119.98176,119.98176,119.98257,119.98322,119.98265,119.98136,119.983376,119.982605,119.981804,119.9834,119.98309,119.98345,119.98309,119.98265,119.98321,119.98344,119.98395,119.982124,119.983986,119.98344,119.9818,119.983986,119.984726,119.9833,119.98397,119.98478,119.984116,119.98276,119.98184,119.98439,119.982994,119.98381,119.987366,119.98384,119.98269,119.99131,119.98407,119.99131,119.98653,119.98269,119.98779,119.992195,119.99835,119.99637,119.99916,119.98202,119.98274,119.987045,119.981186,119.981186,119.981186,119.9812,119.98125,119.98177,119.981766,119.98188,119.98312,119.9831,119.98275,119.98135,119.98151,119.98348,119.98372,119.9819,119.98199,119.983536,119.98369,119.98358,119.98373,119.9827,119.98347,119.98355,119.98207,119.984474,119.98365,119.98194,119.98223,119.9825,119.98397,119.984146,119.98346,119.98611,119.98199,119.98216,119.98242,119.9847,119.98719,119.98513,119.997635,119.99697,119.99234,120.0
119.98003,119.98049,119.98049,119.98011,119.98116,119.98027,119.980194,119.98133,119.980156,119.98051,119.981384,119.98108,119.981384,119.98108,119.98112,119.98134,119.981346,119.98208,119.98074,119.98208,119.9813,119.980484,119.98202,119.98313,119.98098,119.9819,119.983055,119.98207,119.9813,119.9805,119.98253,119.98152,119.98173,119.98607,119.98174,119.98116,119.99043,119.98197,119.99043,119.98469,119.98115,119.98611,119.99112,119.99815,119.9959,119.99907,119.98066,119.98128,119.985756,119.980034,119.980034,119.98004,119.98004,119.98008,119.98049,119.9805,119.980576,119.981094,119.98108,119.98046,119.980194,119.98024,119.98147,119.981735,119.980576,119.98063,119.98152,119.98171,119.98147,119.98164,119.9812,119.98139,119.981476,119.9807,119.98269,119.981544,119.98062,119.98085,119.98108,119.98191,119.98258,119.98194,119.984215,119.98058,119.980705,119.98092,119.9833,119.98589,119.98312,119.997345,119.99658,119.99155,120.0
119.98622,119.98649,119.98649,119.9849,119.9863,119.98513,119.98636,119.98645,119.98495,119.986496,119.98648,119.98624,119.98649,119.98624,119.986694,119.986694,119.986465,119.98716,119.98664,119.987144,119.98641,119.98661,119.98703,119.98805,119.98611,119.986946,119.98789,119.98715,119.987,119.98664,119.98746,119.98717,119.98686,119.99014,119.98686,119.986984,119.99323,119.98699,119.99323,119.98914,119.98698,119.9901,119.99362,119.99867,119.997055,119.99933,119.98656,119.98694,119.989975,119.98622,119.98623,119.98623,119.98624,119.9863,119.98649,119.98649,119.98651,119.98625,119.98624,119.98543,119.986404,119.98644,119.98661,119.986824,119.98655,119.98658,119.986595,119.98676,119.98656,119.98668,119.986824,119.98653,119.98665,119.986595,119.98762,119.98666,119.98668,119.98678,119.98688,119.98694,119.987724,119.98734,119.98872,119.98669,119.98676,119.98686,119.98832,119.99005,119.98797,119.99809,119.99753,119.99403,120.0
119.9824,119.98287,119.98287,119.98224,119.98316,119.98239,119.98262,119.98339,119.982285,119.98288,119.9835,119.98308,119.983505,119.983086,119.98333,119.98343,119.98348,119.98415,119.9831,119.98415,119.98334,119.982956,119.98409,119.985176,119.98274,119.98401,119.98503,119.98426,119.983665,119.982994,119.98457,119.983925,119.98397,119.98775,119.98399,119.98367,119.99161,119.98431,119.99161,119.98671,119.98367,119.98802,119.99245,119.99845,119.99661,119.999214,119.98301,119.98358,119.98754,119.9824,119.98241,119.982414,119.982414,119.98245,119.98287,119.98289,119.98293,119.98308,119.98308,119.98256,119.98263,119.982735,119.98354,119.98381,119.98295,119.982994,119.98364,119.98382,119.983604,119.98375,119.98345,119.9836,119.983734,119.98305,119.98469,119.98371,119.983055,119.98327,119.98345,119.98399,119.98473,119.98419,119.986305,119.983055,119.98322,119.98344,119.98555,119.98763,119.985275,119.99781,119.997185,119.992676,120.0
119.98367,119.98403,119.98403,119.98382,119.98466,119.98392,119.983864,119.98487,119.98386,119.98407,119.98494,119.98454,119.98494,119.98454,119.98462,119.98482,119.98483,119.985535,119.98431,119.98554,119.98466,119.984245,119.9855,119.986404,119.98399,119.98539,119.98635,119.98554,119.98487,119.984276,119.98594,119.98511,119.9853,119.98877,119.98532,119.98483,119.992325,119.985596,119.992325,119.98781,119.984825,119.9889,119.993004,119.99857,119.99685,119.99927,119.98419,119.98482,119.98856,119.98367,119.98367,119.98368,119.98369,119.98371,119.98405,119.98403,119.9841,119.98454,119.984535,119.98407,119.98392,119.98403,119.98504,119.985275,119.984146,119.984215,119.98507,119.98524,119.98504,119.98519,119.984726,119.98495,119.985085,119.984245,119.98603,119.98502,119.984344,119.98452,119.98469,119.98539,119.98596,119.98543,119.98737,119.984314,119.984436,119.98463,119.98666,119.988655,119.98645,119.99797,119.99738,119.9933,120.0
119.985374,119.98558,119.98557,119.98542,119.98576,119.98551,119.98547,119.98579,119.985466,119.9856,119.98579,119.985794,119.98575,119.98582,119.98597,119.986046,119.985435,119.98656,119.985756,119.98655,119.98488,119.98572,119.98645,119.98743,119.98356,119.986336,119.9873,119.98638,119.98624,119.98573,119.98688,119.986435,119.9859,119.98959,119.985886,119.98622,119.99288,119.98615,119.99288,119.98848,119.98622,119.98962,119.99344,119.99864,119.99702,119.999306,119.98569,119.98617,119.98937,119.985374,119.98538,119.98538,119.98539,119.98541,119.98558,119.98558,119.98562,119.98576,119.98577,119.985596,119.9855,119.98555,119.98596,119.98624,119.98564,119.98568,119.985954,119.98617,119.98589,119.986084,119.98607,119.9855,119.98564,119.98572,119.987015,119.98545,119.9858,119.98596,119.9861,119.98639,119.987076,119.98664,119.98813,119.98579,119.98589,119.986046,119.98768,119.98948,119.98716,119.998055,119.99751,119.99364,120.0
119.98142,119.98209,119.98209,119.98129,119.98234,119.98148,119.981766,119.98248,119.981346,119.98211,119.98248,119.98229,119.98242,119.98231,119.98263,119.98267,119.98201,119.98334,119.982376,119.983315,119.981186,119.98234,119.983185,119.984474,119.97934,119.983,119.984276,119.9831,119.98297,119.982414,119.98376,119.983246,119.98254,119.987206,119.982475,119.98302,119.9912,119.98272,119.9912,119.9858,119.98302,119.98717,119.99187,119.99834,119.996284,119.99915,119.982254,119.98287,119.987015,119.98142,119.98142,119.98143,119.98143,119.981476,119.98209,119.9821,119.98216,119.982285,119.982285,119.98169,119.98184,119.982025,119.98272,119.98299,119.98219,119.98227,119.98263,119.98284,119.98256,119.982735,119.98275,119.982124,119.98231,119.982315,119.983925,119.981895,119.98245,119.98262,119.98279,119.98303,119.98399,119.98344,119.98533,119.982475,119.982605,119.9828,119.98487,119.98711,119.983894,119.99761,119.99692,119.99242,120.0
119.98419,119.984474,119.984474,119.984055,119.98453,119.98419,119.9844,119.98453,119.98411,119.98451,119.984474,119.98457,119.98427,119.984604,119.98487,119.98489,119.983475,119.98535,119.98469,119.985306,119.98188,119.984665,119.985054,119.98639,119.97849,119.984695,119.98611,119.98474,119.9852,119.98469,119.98563,119.98542,119.98409,119.98873,119.98399,119.985214,119.99224,119.984375,119.99224,119.986916,119.98521,119.98819,119.992546,119.998535,119.99678,119.99925,119.98458,119.98511,119.98853,119.9842,119.9842,119.984215,119.98423,119.984245,119.98449,119.984474,119.98451,119.98453,119.98454,119.98431,119.98443,119.984535,119.98471,119.984985,119.984566,119.98461,119.98463,119.984795,119.984406,119.98453,119.984985,119.98361,119.9838,119.98464,119.98581,119.98308,119.98475,119.98492,119.98507,119.98471,119.98603,119.98562,119.98666,119.98473,119.98484,119.98502,119.98678,119.98862,119.985405,119.99791,119.997314,119.99313,120.0
119.98393,119.98419,119.98419,119.983345,119.983795,119.98343,119.98406,119.98378,119.98338,119.984215,119.983635,119.98392,119.983345,119.98396,119.984406,119.9844,119.982315,119.98479,119.984375,119.98469,119.980675,119.98432,119.98439,119.985916,119.977196,119.98395,119.98552,119.983986,119.98478,119.98436,119.98496,119.985,119.9831,119.98831,119.98297,119.98479,119.99197,119.98339,119.99197,119.986336,119.98479,119.98767,119.992226,119.998474,119.99657,119.99922,119.984276,119.984695,119.98815,119.98394,119.98394,119.98395,119.98395,119.98397,119.9842,119.9842,119.98423,119.9838,119.98386,119.98356,119.98409,119.984146,119.98403,119.984344,119.98427,119.984314,119.98381,119.98405,119.983505,119.98369,119.98456,119.98248,119.9827,119.98432,119.985214,119.98196,119.98439,119.98452,119.98464,119.984024,119.98555,119.98513,119.98597,119.98441,119.98452,119.98465,119.98635,119.98823,119.98462,119.9978,119.99716,119.99298,120.0
119.98063,119.980865,119.980865,119.98041,119.9807,119.98051,119.980736,119.980675,119.98046,119.980896,119.98042,119.980835,119.97981,119.98089,119.981255,119.98126,119.97816,119.981735,119.98112,119.98163,119.97531,119.981064,119.98118,119.983086,119.96938,119.98049,119.982574,119.98049,119.9817,119.981094,119.98188,119.98195,119.97921,119.98596,119.97893,119.98169,119.99029,119.97946,119.99029,119.98341,119.98168,119.98505,119.99057,119.99812,119.99583,119.99905,119.980995,119.98157,119.985794,119.98064,119.98064,119.98065,119.98066,119.98067,119.98088,119.98087,119.98091,119.98071,119.98078,119.98061,119.98074,119.98082,119.980965,119.98128,119.98096,119.981,119.98062,119.980865,119.979996,119.9802,119.981415,119.97837,119.97872,119.98106,119.98221,119.97735,119.981186,119.981384,119.981544,119.9807,119.98266,119.98215,119.982925,119.98118,119.98133,119.98151,119.98363,119.98587,119.98117,119.9973,119.99653,119.991615,120.0
119.98289,119.98313,119.98312,119.982025,119.98222,119.982155,119.98307,119.98216,119.98207,119.98314,119.98186,119.98252,119.98105,119.98262,119.983246,119.983154,119.97908,119.983475,119.98326,119.98326,119.975334,119.983246,119.982704,119.98481,119.967606,119.981735,119.98418,119.98173,119.98372,119.98326,119.98345,119.98394,119.980255,119.98737,119.97997,119.98373,119.99141,119.98079,119.99141,119.984406,119.98372,119.98607,119.991455,119.9984,119.99642,119.99918,119.98318,119.9836,119.98723,119.9829,119.9829,119.98291,119.98291,119.982925,119.98313,119.98313,119.98314,119.982285,119.982414,119.98229,119.983086,119.98312,119.98245,119.98283,119.983185,119.983215,119.98209,119.98234,119.9812,119.981384,119.98344,119.979324,119.97965,119.98322,119.98383,119.97795,119.983315,119.98346,119.98359,119.98206,119.98446,119.98406,119.98408,119.98331,119.98341,119.98356,119.985306,119.98729,119.982254,119.99772,119.997055,119.99241,120.0
119.98009,119.98025,119.98024,119.978645,119.9788,119.978806,119.980255,119.97871,119.9787,119.98028,119.97811,119.97926,119.97676,119.97939,119.98029,119.98007,119.97376,119.9804,119.98042,119.98,119.96788,119.98067,119.9791,119.9821,119.95615,119.97753,119.98109,119.97749,119.981094,119.980675,119.98016,119.98139,119.97533,119.98507,119.97457,119.98121,119.98967,119.97541,119.98967,119.9805,119.9812,119.98258,119.98921,119.99799,119.995476,119.998985,119.980286,119.980835,119.984955,119.98009,119.98009,119.9801,119.9801,119.980125,119.980255,119.980255,119.98027,119.97894,119.97911,119.978966,119.9804,119.98052,119.979095,119.97951,119.98032,119.98036,119.97837,119.97867,119.97699,119.97722,119.98058,119.974144,119.97469,119.980354,119.980675,119.97166,119.98074,119.980865,119.98098,119.97804,119.98174,119.981316,119.98032,119.98074,119.980865,119.98103,119.98293,119.985,119.97756,119.9971,119.996254,119.99109,120.0
119.982025,119.98222,119.98222,119.98109,119.98085,119.981186,119.98222,119.98068,119.98113,119.98225,119.98016,119.981384,119.9788,119.98152,119.98227,119.98208,119.97574,119.98234,119.98237,119.98199,119.969376,119.982605,119.98125,119.98389,119.95675,119.97976,119.98296,119.97972,119.982956,119.982635,119.982155,119.98322,119.977425,119.98658,119.97655,119.983055,119.99074,119.977425,119.99074,119.98183,119.983055,119.98403,119.99017,119.99822,119.99596,119.99909,119.982254,119.98274,119.986496,119.98203,119.98203,119.98204,119.982056,119.98208,119.98223,119.98222,119.98223,119.98101,119.981224,119.98128,119.98229,119.982414,119.98097,119.981445,119.982285,119.982315,119.98045,119.98079,119.97904,119.9793,119.98252,119.9762,119.97679,119.982315,119.98259,119.97342,119.98266,119.98277,119.982864,119.9804,119.98356,119.98318,119.98209,119.9827,119.98278,119.98292,119.98462,119.986534,119.97931,119.99743,119.996666,119.99211,120.0
119.97769,119.97785,119.97785,119.97688,119.97614,119.97697,119.97783,119.97592,119.97693,119.97788,119.97506,119.97694,119.97304,119.97716,119.97795,119.977745,119.96857,119.978004,119.97807,119.97745,119.959236,119.978325,119.97641,119.979904,119.940735,119.97409,119.9786,119.973885,119.97881,119.97838,119.97757,119.97917,119.97087,119.98321,119.969765,119.97898,119.98837,119.97116,119.98837,119.97709,119.97898,119.97978,119.987625,119.99776,119.99489,119.99886,119.97791,119.97853,119.98312,119.9777,119.9777,119.97771,119.97771,119.97774,119.97787,119.97785,119.977875,119.97638,119.97669,119.97701,119.977875,119.978065,119.97631,119.976875,119.97795,119.978,119.97543,119.97586,119.97336,119.97367,119.97825,119.96912,119.9699,119.978,119.978165,119.965164,119.97841,119.97856,119.97868,119.97519,119.97951,119.97903,119.97715,119.978455,119.97862,119.978806,119.98089,119.98316,119.97375,119.99675,119.995804,119.99003,120.0
119.96843,119.96854,119.96854,119.96573,119.96371,119.96583,119.968544,119.963135,119.965775,119.96856,119.961266,119.96566,119.95708,119.966156,119.96848,119.967384,119.94758,119.96757,119.96876,119.9661,119.92727,119.96922,119.96374,119.97078,119.88753,119.95889,119.967834,119.95834,119.969765,119.96932,119.96591,119.97024,119.95215,119.97545,119.94945,119.97001,119.982925,119.95201,119.982925,119.96273,119.97001,119.96747,119.98033,119.996635,119.992226,119.99829,119.96856,119.96931,119.97543,119.96844,119.96844,119.96844,119.968445,119.96846,119.96854,119.96854,119.96854,119.964325,119.96508,119.96593,119.96864,119.96887,119.96391,119.964966,119.96863,119.96867,119.96197,119.96276,119.95762,119.958176,119.968925,119.94892,119.95061,119.96866,119.967186,119.93979,119.96931,119.96949,119.96962,119.96114,119.97036,119.96986,119.96338,119.96942,119.96958,119.969795,119.97251,119.97544,119.95677,119.995094,119.99362,119.98558,120.0
119.96141,119.96154,119.96154,119.95761,119.95471,119.957726,119.96158,119.95394,119.95766,119.96158,119.951294,119.95742,119.94493,119.95812,119.96137,119.95974,119.93124,119.95991,119.96179,119.95779,119.90202,119.96233,119.954445,119.96399,119.845314,119.94715,119.95993,119.946205,119.962975,119.962456,119.95737,119.96357,119.93747,119.969604,119.93311,119.96331,119.97883,119.93645,119.97883,119.951416,119.9633,119.95784,119.97465,119.99583,119.99029,119.99789,119.961555,119.9624,119.9696,119.96142,119.96143,119.96143,119.96144,119.96146,119.96156,119.96154,119.96154,119.95554,119.9566,119.95784,119.96173,119.96198,119.95501,119.956345,119.96165,119.96169,119.952194,119.95317,119.94558,119.94625,119.96194,119.93309,119.93532,119.961685,119.95914,119.919586,119.96245,119.96264,119.962814,119.950485,119.96353,119.963,119.952644,119.96259,119.962776,119.96305,119.96625,119.9696,119.943016,119.99391,119.99207,119.98206,120.0
